Location,SFY 2009-2010,SFY 2010-2011,SFY 2011-2012,SFY 2012-2013,SFY 2013-2014
Total,"$547,393,028,941 ","$537,174,836,838 ","$517,790,019,667 ","$508,639,697,277 ","$517,172,671,115 "
Andover,"$376,368,494 ","$377,034,536 ","$375,282,778 ","$369,373,776 ","$359,165,307 "
Ansonia,"$1,533,969,464 ","$1,484,130,265 ","$1,456,089,783 ","$1,356,816,401 ","$1,276,588,989 "
Ashford,"$462,339,581 ","$454,127,481 ","$405,748,471 ","$421,452,029 ","$403,533,699 "
Avon,"$3,744,303,900 ","$3,649,823,882 ","$3,572,440,736 ","$3,573,844,477 ","$3,603,844,068 "
Barkhamsted,"$527,705,389 ","$533,907,239 ","$531,437,283 ","$505,822,210 ","$485,270,508 "
Beacon Falls,"$685,384,414 ","$711,752,725 ","$636,220,058 ","$675,570,669 ","$641,059,735 "
Berlin,"$3,211,952,015 ","$3,269,406,578 ","$3,173,994,700 ","$3,087,503,864 ","$3,080,343,787 "
Bethany,"$886,672,444 ","$864,122,513 ","$818,192,358 ","$820,596,492 ","$815,132,209 "
Bethel,"$3,103,236,798 ","$2,815,952,632 ","$2,769,107,286 ","$2,654,603,288 ","$2,646,524,193 "
Bethlehem,"$569,541,446 ","$562,933,592 ","$552,927,754 ","$490,788,175 ","$531,735,907 "
Bloomfield,"$3,141,560,761 ","$2,963,847,920 ","$2,786,819,016 ","$2,595,430,274 ","$2,802,966,115 "
Bolton,"$669,352,493 ","$660,466,933 ","$639,975,197 ","$596,743,013 ","$614,405,621 "
Bozrah,"$326,361,925 ","$362,193,839 ","$299,899,708 ","$314,565,082 ","$308,291,157 "
Branford,"$5,401,901,383 ","$4,939,663,243 ","$4,932,416,163 ","$4,905,862,518 ","$5,030,865,923 "
Bridgeport,"$9,673,049,563 ","$9,790,215,961 ","$8,760,393,532 ","$7,729,475,314 ","$8,275,778,089 "
Bridgewater,"$529,125,497 ","$571,263,810 ","$494,235,816 ","$551,028,926 ","$522,898,157 "
Bristol,"$6,164,454,137 ","$6,111,926,027 ","$5,587,418,252 ","$5,459,212,487 ","$5,400,791,639 "
Brookfield,"$3,320,021,556 ","$3,315,269,259 ","$3,119,479,688 ","$3,101,025,713 ","$3,191,616,523 "
Brooklyn,"$747,131,497 ","$739,271,794 ","$699,341,455 ","$688,058,184 ","$736,109,247 "
Burlington,"$1,300,774,610 ","$1,265,793,121 ","$1,241,201,726 ","$1,242,699,537 ","$1,268,897,485 "
Canaan,"$280,134,345 ","$263,485,984 ","$284,771,304 ","$218,423,818 ","$242,972,236 "
Canterbury,"$522,399,472 ","$543,548,196 ","$501,240,917 ","$453,811,453 ","$479,945,794 "
Canton,"$1,587,849,750 ","$1,572,126,580 ","$1,557,809,830 ","$1,518,771,590 ","$1,540,795,085 "
Chaplin,"$242,380,057 ","$226,642,233 ","$241,368,513 ","$213,098,562 ","$220,319,766 "
Cheshire,"$4,074,658,490 ","$4,133,444,441 ","$4,000,682,851 ","$3,869,637,585 ","$3,959,962,623 "
Chester,"$721,675,969 ","$651,245,975 ","$686,977,349 ","$634,519,844 ","$670,265,984 "
Clinton,"$2,295,657,544 ","$2,222,717,758 ","$2,130,140,264 ","$2,096,939,873 ","$2,143,157,440 "
Colchester,"$1,752,979,789 ","$1,752,181,106 ","$1,768,924,794 ","$1,681,198,817 ","$1,713,186,821 "
Colebrook,"$218,508,765 ","$250,747,152 ","$260,445,069 ","$243,345,406 ","$236,048,961 "
Columbia,"$725,100,731 ","$720,081,218 ","$687,043,326 ","$662,497,596 ","$676,993,655 "
Cornwall,"$582,171,241 ","$572,022,781 ","$510,908,379 ","$558,229,843 ","$506,565,540 "
Coventry,"$1,390,215,935 ","$1,366,219,704 ","$1,331,531,195 ","$1,323,175,982 ","$1,353,205,676 "
Cromwell,"$1,881,859,722 ","$1,871,234,450 ","$1,905,273,841 ","$1,782,299,356 ","$1,794,452,347 "
Danbury,"$9,919,097,244 ","$10,050,978,530 ","$9,696,064,958 ","$9,161,036,487 ","$9,754,447,760 "
Darien,"$9,431,803,793 ","$11,672,335,338 ","$11,544,591,566 ","$11,544,162,952 ","$12,451,401,017 "
Deep River,"$752,337,780 ","$703,826,645 ","$684,869,066 ","$682,594,876 ","$674,174,035 "
Derby,"$1,251,941,463 ","$1,190,337,208 ","$1,091,576,401 ","$1,066,521,234 ","$943,469,618 "
Durham,"$1,095,711,674 ","$1,087,392,123 ","$1,039,135,069 ","$1,028,249,575 ","$1,008,830,953 "
East Granby,"$814,818,201 ","$835,190,014 ","$748,993,766 ","$764,970,437 ","$804,101,890 "
East Haddam,"$1,314,533,887 ","$1,360,122,328 ","$1,313,702,461 ","$1,236,067,714 ","$1,206,408,850 "
East Hampton,"$1,636,772,457 ","$1,642,527,989 ","$1,592,790,943 ","$1,533,936,947 ","$1,555,518,029 "
East Hartford,"$4,390,028,134 ","$4,288,594,846 ","$3,966,619,309 ","$3,849,203,343 ","$3,936,906,558 "
East Haven,"$2,968,044,077 ","$2,925,349,234 ","$2,805,476,865 ","$2,818,987,196 ","$2,578,578,931 "
East Lyme,"$3,192,934,419 ","$3,151,465,727 ","$3,019,753,443 ","$2,925,132,153 ","$2,932,491,385 "
East Windsor,"$1,557,733,171 ","$1,502,243,643 ","$1,404,317,112 ","$1,313,333,289 ","$1,330,898,946 "
Eastford,"$227,584,490 ","$221,350,086 ","$173,430,595 ","$185,964,069 ","$217,697,015 "
Easton,"$1,828,719,691 ","$1,929,450,919 ","$1,898,190,023 ","$1,883,133,657 ","$1,853,145,732 "
Ellington,"$1,852,462,871 ","$1,870,347,137 ","$1,775,579,566 ","$1,775,809,961 ","$1,789,664,579 "
Enfield,"$4,284,864,472 ","$4,716,736,849 ","$4,158,566,581 ","$4,062,183,096 ","$4,081,383,174 "
Essex,"$1,601,097,690 ","$1,628,745,342 ","$1,562,802,546 ","$1,473,597,147 ","$1,493,863,898 "
Fairfield,"$15,496,392,316 ","$14,777,580,117 ","$15,424,548,293 ","$15,534,035,048 ","$16,145,663,531 "
Farmington,"$5,396,675,900 ","$5,237,838,337 ","$5,016,473,381 ","$5,313,947,102 ","$4,964,907,343 "
Franklin,"$299,180,590 ","$287,293,057 ","$291,331,006 ","$279,527,369 ","$278,675,631 "
Glastonbury,"$5,953,642,196 ","$5,802,756,444 ","$5,718,023,248 ","$5,742,991,731 ","$5,441,509,440 "
Goshen,"$813,662,000 ","$798,165,999 ","$788,916,770 ","$729,286,705 ","$740,215,957 "
Granby,"$1,482,340,792 ","$1,455,486,144 ","$1,397,471,124 ","$1,408,127,839 ","$1,363,093,257 "
Greenwich,"$43,955,745,676 ","$44,032,314,926 ","$43,381,228,410 ","$42,269,356,545 ","$45,635,509,076 "
Griswold,"$1,113,390,832 ","$1,100,295,985 ","$1,009,839,725 ","$997,412,759 ","$958,388,012 "
Groton,"$5,650,001,776 ","$5,973,519,503 ","$5,219,564,260 ","$5,674,978,734 ","$5,453,605,492 "
Guilford,"$4,482,204,306 ","$4,433,476,292 ","$4,466,535,556 ","$4,177,877,721 ","$4,401,457,459 "
Haddam,"$1,206,332,485 ","$1,311,781,157 ","$1,272,219,726 ","$1,235,489,184 ","$1,197,059,823 "
Hamden,"$6,351,601,147 ","$6,106,840,331 ","$5,754,354,481 ","$5,517,481,552 ","$5,513,135,592 "
Hampton,"$218,166,754 ","$192,795,747 ","$208,128,935 ","$203,292,220 ","$188,468,025 "
Hartford,"$7,309,947,142 ","$7,713,607,784 ","$7,147,577,757 ","$6,526,348,965 ","$6,888,293,807 "
Hartland,"$280,976,604 ","$258,031,633 ","$261,420,906 ","$277,715,086 ","$288,386,501 "
Harwinton,"$793,695,066 ","$817,316,050 ","$748,162,896 ","$790,175,622 ","$760,025,199 "
Hebron,"$1,133,998,456 ","$1,116,961,988 ","$1,115,238,901 ","$1,097,934,379 ","$1,080,916,746 "
Kent,"$931,212,629 ","$844,999,865 ","$810,280,827 ","$686,205,494 ","$701,869,675 "
Killingly,"$1,738,014,001 ","$1,697,988,947 ","$1,626,787,833 ","$1,491,814,232 ","$1,597,543,143 "
Killingworth,"$1,092,312,963 ","$1,030,768,606 ","$1,010,340,966 ","$1,021,230,811 ","$970,463,261 "
Lebanon,"$932,756,311 ","$902,316,815 ","$870,115,361 ","$839,856,300 ","$843,273,018 "
Ledyard,"$1,675,024,840 ","$1,647,387,295 ","$1,560,175,001 ","$1,495,867,237 ","$1,480,806,732 "
Lisbon,"$565,225,685 ","$559,215,410 ","$505,719,283 ","$548,596,973 ","$565,256,731 "
Litchfield,"$1,557,736,187 ","$1,538,582,916 ","$1,425,528,147 ","$1,425,894,469 ","$1,421,529,441 "
Lyme,"$860,149,200 ","$873,380,785 ","$786,819,970 ","$681,950,153 ","$713,714,387 "
Madison,"$4,435,997,612 ","$4,474,726,705 ","$4,321,079,301 ","$4,169,051,045 ","$4,351,612,899 "
Manchester,"$6,155,739,358 ","$6,156,673,188 ","$5,655,669,334 ","$5,558,448,949 ","$5,476,686,374 "
Mansfield,"$1,457,680,568 ","$1,385,350,301 ","$1,443,630,905 ","$1,339,347,646 ","$1,369,554,704 "
Marlborough,"$864,120,395 ","$823,874,005 ","$792,883,433 ","$807,409,860 ","$819,164,512 "
Meriden,"$5,216,822,521 ","$5,064,112,331 ","$4,637,734,807 ","$4,644,224,171 ","$4,263,929,656 "
Middlebury,"$1,466,080,059 ","$1,417,532,060 ","$1,307,481,072 ","$1,314,965,601 ","$1,338,288,169 "
Middlefield,"$633,422,989 ","$624,654,715 ","$607,342,309 ","$573,588,857 ","$543,459,169 "
Middletown,"$5,585,366,023 ","$5,170,605,909 ","$4,963,496,158 ","$4,870,325,433 ","$4,608,171,738 "
Milford,"$6,972,378,128 ","$7,186,613,467 ","$6,852,065,504 ","$9,154,001,283 ","$9,443,606,030 "
Monroe,"$3,562,432,689 ","$3,277,578,057 ","$3,220,913,936 ","$3,098,919,583 ","$3,207,048,912 "
Montville,"$2,036,255,401 ","$2,100,781,524 ","$2,002,452,063 ","$1,850,227,589 ","$1,776,946,041 "
Morris,"$580,352,540 ","$509,508,078 ","$502,130,423 ","$498,407,737 ","$464,963,219 "
Naugatuck,"$2,692,330,968 ","$2,657,203,651 ","$2,503,021,520 ","$2,353,969,969 ","$2,254,139,970 "
New Britain,"$4,136,232,104 ","$4,012,522,055 ","$3,797,502,495 ","$3,549,594,737 ","$3,498,493,916 "
New Canaan,"$11,631,228,943 ","$10,795,708,737 ","$10,871,994,421 ","$11,358,746,273 ","$11,387,799,066 "
New Fairfield,"$2,522,788,136 ","$2,394,629,950 ","$2,439,853,272 ","$2,241,292,944 ","$2,238,854,493 "
New Hartford,"$1,007,330,607 ","$964,152,928 ","$955,598,367 ","$944,979,390 ","$939,030,593 "
New Haven,"$8,460,921,705 ","$7,748,069,515 ","$6,779,089,379 ","$8,567,371,656 ","$9,330,121,969 "
New London,"$2,347,432,933 ","$2,104,151,971 ","$1,994,278,344 ","$1,874,244,934 ","$1,837,874,032 "
New Milford,"$4,399,655,945 ","$4,366,729,431 ","$4,088,829,950 ","$4,089,945,389 ","$4,007,864,030 "
Newington,"$3,955,308,064 ","$4,073,474,409 ","$3,880,511,002 ","$3,648,904,984 ","$3,651,832,566 "
Newtown,"$5,018,212,097 ","$4,779,608,801 ","$4,662,225,678 ","$4,362,136,948 ","$4,339,760,783 "
Norfolk,"$442,989,643 ","$382,020,959 ","$434,258,317 ","$370,367,225 ","$379,041,219 "
North Branford,"$1,863,009,222 ","$1,917,957,235 ","$1,790,264,873 ","$1,731,652,915 ","$1,785,286,052 "
North Canaan,"$521,255,306 ","$468,661,522 ","$380,117,948 ","$421,768,606 ","$440,728,486 "
North Haven,"$4,264,040,807 ","$4,165,595,867 ","$3,934,550,279 ","$3,669,842,887 ","$3,814,425,244 "
North Stonington,"$845,341,288 ","$832,305,656 ","$773,412,110 ","$750,776,096 ","$765,610,254 "
Norwalk,"$18,035,743,033 ","$17,356,987,045 ","$16,955,393,390 ","$16,560,812,571 ","$16,572,378,408 "
Norwich,"$3,400,921,849 ","$3,147,981,409 ","$2,942,693,727 ","$2,919,737,142 ","$2,936,727,830 "
Old Lyme,"$2,235,912,077 ","$2,317,632,930 ","$2,120,679,355 ","$2,132,599,269 ","$2,251,479,918 "
Old Saybrook,"$3,638,339,563 ","$3,173,317,525 ","$3,026,981,891 ","$2,806,949,497 ","$2,994,856,250 "
Orange,"$2,393,418,493 ","$2,388,947,380 ","$2,268,631,410 ","$2,124,005,571 ","$2,704,439,983 "
Oxford,"$2,061,759,240 ","$2,090,210,295 ","$1,995,523,927 ","$1,971,212,881 ","$2,060,045,317 "
Plainfield,"$1,377,877,084 ","$1,368,849,725 ","$1,382,986,125 ","$1,139,986,603 ","$1,194,642,329 "
Plainville,"$2,219,047,278 ","$1,970,066,222 ","$1,936,121,474 ","$1,911,842,160 ","$1,884,896,086 "
Plymouth,"$1,153,756,485 ","$1,142,032,033 ","$1,075,877,169 ","$1,081,692,950 ","$1,029,418,266 "
Pomfret,"$517,088,016 ","$508,169,747 ","$485,554,110 ","$454,037,339 ","$424,281,528 "
Portland,"$1,178,765,035 ","$1,136,444,991 ","$1,117,214,797 ","$1,138,755,293 ","$1,123,640,030 "
Preston,"$618,471,910 ","$587,108,055 ","$556,056,278 ","$550,789,648 ","$545,559,501 "
Prospect,"$1,149,694,825 ","$1,199,311,642 ","$1,170,631,255 ","$1,121,080,439 ","$1,192,847,706 "
Putnam,"$912,378,650 ","$878,101,755 ","$806,863,164 ","$730,010,176 ","$789,672,372 "
Redding,"$2,489,043,779 ","$2,433,477,140 ","$2,423,819,354 ","$2,284,785,227 ","$2,323,953,484 "
Ridgefield,"$7,572,191,655 ","$7,210,544,084 ","$7,092,960,130 ","$6,861,675,340 ","$6,598,704,716 "
Rocky Hill,"$3,156,073,966 ","$2,959,219,154 ","$2,763,696,337 ","$2,741,368,613 ","$2,784,951,675 "
Roxbury,"$1,047,484,169 ","$970,846,028 ","$1,029,198,632 ","$936,257,043 ","$991,561,414 "
Salem,"$546,970,134 ","$546,700,093 ","$557,332,251 ","$512,891,607 ","$489,335,928 "
Salisbury,"$1,611,125,732 ","$1,520,975,298 ","$1,628,238,829 ","$1,561,736,123 ","$1,569,991,945 "
Scotland,"$183,716,527 ","$175,630,973 ","$157,056,218 ","$151,122,287 ","$153,397,640 "
Seymour,"$1,936,954,352 ","$1,878,591,320 ","$1,787,642,556 ","$1,710,743,807 ","$1,663,013,492 "
Sharon,"$1,196,530,603 ","$969,416,426 ","$1,109,074,374 ","$986,489,881 ","$985,900,864 "
Shelton,"$6,983,737,203 ","$6,817,934,005 ","$6,465,685,754 ","$6,393,817,344 ","$6,470,363,305 "
Sherman,"$1,045,613,754 ","$1,027,915,499 ","$963,531,156 ","$901,271,767 ","$970,811,488 "
Simsbury,"$3,674,498,580 ","$3,717,023,506 ","$3,607,413,059 ","$3,505,330,154 ","$3,192,698,507 "
Somers,"$1,178,254,634 ","$1,176,551,830 ","$1,137,464,430 ","$1,169,982,972 ","$1,110,037,653 "
South Windsor,"$3,778,484,983 ","$3,813,398,098 ","$3,598,807,424 ","$3,386,291,507 ","$3,525,312,497 "
Southbury,"$3,356,054,674 ","$3,222,574,041 ","$3,167,605,345 ","$2,728,456,232 ","$3,000,056,220 "
Southington,"$5,796,798,062 ","$5,765,941,720 ","$5,622,660,761 ","$5,316,762,764 ","$5,286,801,017 "
Sprague,"$288,318,917 ","$289,694,027 ","$256,724,061 ","$277,001,389 ","$234,574,730 "
Stafford,"$1,155,528,631 ","$1,201,376,104 ","$1,127,409,492 ","$1,097,801,514 ","$1,046,410,611 "
Stamford,"$32,681,857,513 ","$29,980,542,111 ","$29,591,423,350 ","$28,845,672,604 ","$27,068,336,287 "
Sterling,"$377,214,193 ","$405,500,835 ","$361,140,930 ","$345,122,763 ","$320,405,687 "
Stonington,"$4,050,929,947 ","$4,108,445,566 ","$4,074,206,314 ","$3,636,910,156 ","$3,708,545,647 "
Stratford,"$6,788,547,960 ","$6,749,119,646 ","$6,257,705,490 ","$6,121,995,817 ","$6,517,575,795 "
Suffield,"$1,985,159,390 ","$1,909,453,281 ","$1,953,267,664 ","$1,892,114,160 ","$1,948,350,556 "
Thomaston,"$823,889,467 ","$811,923,586 ","$730,261,208 ","$751,534,593 ","$751,015,892 "
Thompson,"$926,075,551 ","$872,284,224 ","$838,281,622 ","$807,310,836 ","$813,723,910 "
Tolland,"$1,920,145,443 ","$1,819,491,626 ","$1,842,304,335 ","$1,781,574,139 ","$1,779,999,108 "
Torrington,"$3,233,808,430 ","$3,382,715,193 ","$3,280,718,564 ","$3,163,588,444 ","$2,999,332,916 "
Trumbull,"$6,753,991,308 ","$6,491,209,069 ","$6,674,400,349 ","$6,339,433,163 ","$6,635,054,926 "
Union,"$135,199,429 ","$152,587,977 ","$139,771,359 ","$128,609,416 ","$125,904,473 "
Vernon,"$2,455,538,731 ","$2,462,690,474 ","$2,540,965,785 ","$2,484,656,177 ","$2,402,677,895 "
Voluntown,"$285,912,209 ","$277,594,435 ","$276,837,569 ","$266,836,147 ","$268,254,971 "
Wallingford,"$6,770,743,132 ","$6,644,907,046 ","$5,959,102,100 ","$5,908,424,628 ","$6,075,318,040 "
Warren,"$523,960,020 ","$474,367,927 ","$597,859,438 ","$471,325,950 ","$489,722,357 "
Washington,"$1,786,697,786 ","$1,667,875,309 ","$1,688,543,864 ","$1,539,044,495 ","$1,527,331,924 "
Waterbury,"$7,035,972,434 ","$7,056,499,043 ","$6,105,411,822 ","$5,511,932,369 ","$5,758,088,707 "
Waterford,"$5,048,818,612 ","$4,900,346,883 ","$4,640,714,679 ","$4,426,753,188 ","$4,533,877,854 "
Watertown,"$2,796,244,961 ","$2,711,910,058 ","$2,560,355,224 ","$2,400,494,080 ","$2,460,853,869 "
West Hartford,"$7,472,184,092 ","$7,137,413,505 ","$7,244,491,864 ","$8,400,921,331 ","$9,035,908,810 "
West Haven,"$4,282,163,843 ","$4,200,968,454 ","$4,014,297,653 ","$3,861,225,600 ","$3,920,079,059 "
Westbrook,"$1,843,445,781 ","$1,873,317,801 ","$1,699,819,090 ","$1,607,615,430 ","$1,628,977,476 "
Weston,"$3,740,858,564 ","$3,522,242,540 ","$3,614,143,912 ","$3,423,962,878 ","$3,587,402,584 "
Westport,"$14,649,694,183 ","$14,735,698,117 ","$13,636,314,583 ","$14,306,009,245 ","$14,803,064,448 "
Wethersfield,"$3,299,287,214 ","$3,274,360,078 ","$3,128,048,308 ","$3,146,435,531 ","$3,147,128,675 "
Willington,"$670,234,110 ","$670,636,841 ","$654,109,289 ","$599,333,683 ","$629,316,327 "
Wilton,"$6,733,875,072 ","$6,283,042,966 ","$6,346,437,727 ","$6,134,734,484 ","$6,054,409,014 "
Winchester,"$1,159,887,232 ","$1,148,681,921 ","$1,032,016,716 ","$976,395,144 ","$983,598,186 "
Windham,"$1,381,718,061 ","$1,472,431,838 ","$1,468,464,619 ","$1,205,543,088 ","$1,191,547,481 "
Windsor,"$4,295,760,010 ","$4,039,645,772 ","$4,003,835,033 ","$4,026,157,221 ","$4,026,160,993 "
Windsor Locks,"$1,965,482,324 ","$1,958,535,428 ","$1,686,160,158 ","$1,598,600,472 ","$1,833,714,636 "
Wolcott,"$2,017,577,873 ","$1,945,213,318 ","$1,999,758,230 ","$1,794,715,471 ","$1,846,423,677 "
Woodbridge,"$1,709,202,757 ","$1,693,966,700 ","$1,643,255,100 ","$1,631,618,463 ","$1,693,844,166 "
Woodbury,"$1,733,594,466 ","$1,623,688,758 ","$1,586,206,887 ","$1,489,047,858 ","$1,491,656,595 "
Woodstock,"$1,030,406,354 ","$1,021,258,366 ","$976,470,972 ","$963,537,919 ","$937,571,433 "
