"Formation","Lifespan","Value"
"1980",0,100
"1981",0,100
"1982",0,100
"1983",0,100
"1984",0,100
"1985",0,100
"1986",0,100
"1987",0,100
"1988",0,100
"1989",0,100
"1990",0,100
"1991",0,100
"1992",0,100
"1993",0,100
"1994",0,100
"1995",0,100
"1996",0,100
"1997",0,100
"1998",0,100
"1999",0,100
"2000",0,100
"2001",0,100
"2002",0,100
"2003",0,100
"2004",0,100
"2005",0,100
"2006",0,100
"2007",0,100
"2008",0,100
"2009",0,100
"2010",0,100
"2011",0,100
"2012",0,100
"2013",0,100
"2014",0,100
"1980",1,99.6890117484451
"1981",1,99.5902081311334
"1982",1,99.5263870094723
"1983",1,99.4137710509486
"1984",1,99.5572422517394
"1985",1,99.6746411483254
"1986",1,99.5678550652373
"1987",1,99.5445422263394
"1988",1,99.6169831309592
"1989",1,99.2209960122415
"1990",1,99.2485182049111
"1991",1,99.3677434187838
"1992",1,99.5188003581021
"1993",1,99.4312694495117
"1994",1,99.3826503459287
"1995",1,99.4611127293912
"1996",1,99.4719896973599
"1997",1,99.4242492662001
"1998",1,99.2835107970942
"1999",1,99.1582874562082
"2000",1,99.2204526404023
"2001",1,99.2081792473352
"2002",1,98.9959532717416
"2003",1,98.3038655207663
"2004",1,98.6799606796798
"2005",1,98.5583756345178
"2006",1,98.7714342027462
"2007",1,98.5259587790243
"2008",1,97.8518274130283
"2009",1,97.7713818987982
"2010",1,98.171291674985
"2011",1,98.0513901905654
"2012",1,98.1525171500127
"2013",1,98.2392561680943
"2014",1,98.4268783144108
"1980",2,98.0073715733702
"1981",2,97.7030087350372
"1982",2,97.3725755525485
"1983",2,96.9196333404391
"1984",2,97.3118279569892
"1985",2,97.4545454545455
"1986",2,97.1993684035569
"1987",2,97.444804693531
"1988",2,96.8299242115557
"1989",2,96.2997310581471
"1990",2,96.7400508044031
"1991",2,97.0686285779975
"1992",2,97.4597135183527
"1993",2,97.0490395965232
"1994",2,97.243214475785
"1995",2,97.6478298863967
"1996",2,97.1538956857695
"1997",2,96.8446601941748
"1998",2,96.4872126579759
"1999",2,96.5376040766186
"2000",2,96.4501257334451
"2001",2,96.4585599303894
"2002",2,93.7848362220356
"2003",2,93.885586642941
"2004",2,94.6390956326359
"2005",2,94.4636209813875
"2006",2,94.9411996583667
"2007",2,93.5037829376467
"2008",2,92.6243630631621
"2009",2,92.6646182567773
"2010",2,92.6093032541425
"2011",2,93.1349578256795
"2012",2,93.2379949911074
"2013",2,93.9563657661615
"2014",2,93.5224401181621
"1980",3,95.2891038931122
"1981",3,94.8991696322657
"1982",3,94.2264321154714
"1983",3,94.2869324237902
"1984",3,94.707990723171
"1985",3,94.4593301435407
"1986",3,93.9998337904097
"1987",3,93.7085070248572
"1988",3,92.7797245538261
"1989",3,92.9425948251878
"1990",3,93.8611346316681
"1991",3,94.0682837107714
"1992",3,94.1584601611459
"1993",3,94.0980791930465
"1994",3,94.4119212346993
"1995",3,94.3926594815031
"1996",3,94.1210560206053
"1997",3,93.9941296003613
"1998",3,93.5914021295651
"1999",3,93.6439328449884
"2000",3,93.4367141659681
"2001",3,90.9984772677833
"2002",3,89.03947468886
"2003",3,89.508953924204
"2004",3,90.6052520713383
"2005",3,90.2267343485618
"2006",3,88.9034886012746
"2007",3,87.9826506652752
"2008",3,87.8331317130393
"2009",3,87.05223445218
"2010",3,87.522459572769
"2011",3,88.1482349265854
"2012",3,88.925991797031
"2013",3,88.9340361666301
"1980",4,92.6399447131997
"1981",4,92.2786584708293
"1982",4,91.9485791610284
"1983",4,91.9526753357493
"1984",4,91.8616909129243
"1985",4,91.7894736842105
"1986",4,90.9332668494972
"1987",4,90.5203026092327
"1988",4,90.1393529459702
"1989",4,90.6797737178893
"1990",4,91.1727349703641
"1991",4,91.8611334636165
"1992",4,91.3719785138765
"1993",4,91.3724648567443
"1994",4,90.7184672698244
"1995",4,91.4579085348092
"1996",4,91.281390856407
"1997",4,91.2903589975164
"1998",4,90.5612498756095
"1999",4,90.8321579689704
"2000",4,87.7703269069573
"2001",4,86.7739830324124
"2002",4,84.9049400626098
"2003",4,84.7840078749101
"2004",4,84.7668866732201
"2005",4,84.9712351945854
"2006",4,84.2487352999146
"2007",4,83.8507696321419
"2008",4,83.709080244877
"2009",4,82.5561043911166
"2010",4,83.1303653423837
"2011",4,84.6883786316776
"2012",4,84.1965808863562
"1980",5,90.2441833678876
"1981",5,90.5316510298717
"1982",5,89.6256202074876
"1983",5,89.6290769558729
"1984",5,89.5003162555345
"1985",5,89.1291866028708
"1986",5,88.1243247735394
"1987",5,88.37424733673
"1988",5,88.240567190938
"1989",5,88.8342761754614
"1990",5,89.415749364945
"1991",5,90.0678238878032
"1992",5,88.3952551477171
"1993",5,87.3913510033265
"1994",5,87.365620010644
"1995",5,88.8435770463152
"1996",5,88.5125563425628
"1997",5,88.3664484082186
"1998",5,87.8097323116728
"1999",5,85.4406478911688
"2000",5,83.9396479463537
"2001",5,83.4457254731347
"2002",5,81.3354203252653
"2003",5,80.9487752243214
"2004",5,80.1783457379582
"2005",5,80.9306260575296
"2006",5,80.7929833782274
"2007",5,80.553743803809
"2008",5,80.2302137175116
"2009",5,78.7056123838046
"2010",5,79.8802156118986
"2011",5,80.9278350515464
"1980",6,88.827459110804
"1981",6,88.5689636579316
"1982",6,87.5281912494362
"1983",6,87.6891920699211
"1984",6,87.2654438119334
"1985",6,87.3205741626794
"1986",6,86.4871603091498
"1987",6,86.9615562760537
"1988",6,86.8959335017521
"1989",6,87.545210052861
"1990",6,87.8281117696867
"1991",6,88.2170364409702
"1992",6,85.2282900626679
"1993",6,84.3545444790214
"1994",6,84.8749334752528
"1995",6,86.3093504223711
"1996",6,85.5054732775274
"1997",6,85.8376608715286
"1998",6,83.540650811026
"1999",6,82.1829928568179
"2000",6,80.9094719195306
"2001",6,79.9695453556667
"2002",6,77.9109719783156
"2003",6,77.1211146026578
"2004",6,76.4288723493891
"2005",6,78.1624365482234
"2006",6,77.6525852440707
"2007",6,77.6545786590138
"2008",6,76.6706990725467
"2009",6,76.0452724514799
"2010",6,76.4703533639449
"1980",7,87.2034093526837
"1981",7,87.1023401272512
"1982",7,85.8818222823636
"1983",7,85.8452355574504
"1984",7,85.5787476280835
"1985",7,85.5598086124402
"1986",7,85.1408626277736
"1987",7,85.981164119191
"1988",7,85.6490913535979
"1989",7,86.1541315032922
"1990",7,85.8806096528366
"1991",7,85.4580986320267
"1992",7,82.5872873769024
"1993",7,81.9615838609293
"1994",7,82.52261841405
"1995",7,83.7241479755316
"1996",7,82.9040566645203
"1997",7,81.700158049221
"1998",7,80.6100109463628
"1999",7,79.3302698029938
"2000",7,78.2103939647946
"2001",7,77.1677180770067
"2002",7,74.8339314346797
"2003",7,73.6758414417143
"2004",7,73.8590085662126
"2005",7,75.5702199661591
"2006",7,74.9885027264963
"2007",7,74.1260109574746
"2008",7,74.4455441915026
"2009",7,73.1943526117226
"1980",8,85.8673116793366
"1981",8,85.571012617276
"1982",8,84.4384303112314
"1983",8,84.416968663398
"1984",8,84.5245625131773
"1985",8,84.4114832535885
"1986",8,84.0189478932934
"1987",8,85.1088466882816
"1988",8,84.4022492054437
"1989",8,85.0134470926458
"1990",8,83.9542760372566
"1991",8,83.6303023336016
"1992",8,80.5953446732319
"1993",8,79.4827771220088
"1994",8,79.6593932943055
"1995",8,81.4229536848238
"1996",8,79.375402446877
"1997",8,78.8722059155566
"1998",8,77.913225196537
"1999",8,77.0371718458529
"2000",8,75.7585917854149
"2001",8,74.3093321731564
"2002",8,72.1310223715355
"2003",8,71.343656532768
"2004",8,71.4752141553153
"2005",8,73.160744500846
"2006",8,71.6937126338611
"2007",8,72.2214975215236
"2008",8,72.0004398988233
"1980",9,84.7039852568533
"1981",9,84.4386929796183
"1982",9,83.4122688317546
"1983",9,83.3510978469409
"1984",9,83.6706725701033
"1985",9,83.511961722488
"1986",9,83.1214161057093
"1987",9,84.0898564150069
"1988",9,83.342840844267
"1989",9,83.8542149680052
"1990",9,82.3772226926334
"1991",9,81.9404529256236
"1992",9,78.4914950760967
"1993",9,76.7571627857066
"1994",9,77.6157530601384
"1995",9,78.4226623944072
"1996",9,76.8705730843529
"1997",9,76.5579137502822
"1998",9,75.5896109065579
"1999",9,74.7167751035079
"2000",9,73.2145850796312
"2001",9,71.7032847509245
"2002",9,70.1763762693747
"2003",9,69.3522129254534
"2004",9,69.4003651172588
"2005",9,70.2944162436548
"2006",9,69.9724065435911
"2007",9,70.1343595095226
"1980",10,83.4139599170698
"1981",10,83.4681332901973
"1982",10,82.5778078484438
"1983",10,82.4664250692816
"1984",10,83.0276196500105
"1985",10,82.755980861244
"1986",10,82.2238843181252
"1987",10,83.3333333333333
"1988",10,82.022655040339
"1989",10,82.6764351293703
"1990",10,80.958933107536
"1991",10,80.1816300724221
"1992",10,76.2085944494181
"1993",10,74.7827020066531
"1994",10,75.4869611495476
"1995",10,75.9758228954267
"1996",10,74.7263361236317
"1997",10,74.3847369609393
"1998",10,73.1515573688924
"1999",10,72.3599799808909
"2000",10,70.9681475272423
"2001",10,69.7672395040244
"2002",10,68.3668015576086
"2003",10,67.4289175784651
"2004",10,66.7989046482236
"2005",10,68.6091370558376
"2006",10,68.0671440772617
"1980",11,82.5616217461414
"1981",11,82.7024695352097
"1982",11,82.0139828597203
"1983",11,81.7842677467491
"1984",11,82.4583596879612
"1985",11,82.1244019138756
"1986",11,81.451009723261
"1987",11,82.2294272039524
"1988",11,80.7432157118409
"1989",11,81.6748585736808
"1990",11,79.6570702794242
"1991",11,78.7676744453385
"1992",11,74.541181736795
"1993",11,72.9155488786351
"1994",11,73.6881319850985
"1995",11,73.8785318963006
"1996",11,72.8911783644559
"1997",11,72.5953939941296
"1998",11,71.0369190964275
"1999",11,70.1305791892261
"2000",11,69.1953059513831
"2001",11,68.0356754405047
"2002",11,66.7022982362373
"2003",11,64.8392836860637
"2004",11,65.1734306979357
"2005",11,66.7445008460237
"1980",12,81.8014282423405
"1981",12,82.1309177181063
"1982",12,81.4276048714479
"1983",12,81.2619910466851
"1984",12,81.8258486190175
"1985",12,81.2344497607656
"1986",12,80.4454417019862
"1987",12,81.1795584375483
"1988",12,79.8793904327276
"1989",12,80.5434480200315
"1990",12,78.069432684166
"1991",12,77.4916657087021
"1992",12,72.8849597135184
"1993",12,71.5205494151733
"1994",12,72.1447578499202
"1995",12,71.9851441887562
"1996",12,71.0045074050225
"1997",12,70.3939941296004
"1998",12,69.2755498059508
"1999",12,68.5290504572547
"2000",12,67.6948868398994
"2001",12,66.4911899064607
"2002",12,64.2589906085363
"2003",12,63.3551660167342
"2004",12,63.4321022328325
"1980",13,81.2255240727943
"1981",13,81.6132858837485
"1982",13,80.9201623815968
"1983",13,80.7823491792795
"1984",13,81.1933375500738
"1985",13,80.3923444976077
"1986",13,79.5562203939167
"1987",13,80.3921568627451
"1988",13,78.7873848912069
"1989",13,79.170917184457
"1990",13,76.8839966130398
"1991",13,76.2271525462697
"1992",13,71.3406445837064
"1993",13,70.2757806631613
"1994",13,70.4949441192123
"1995",13,70.3830468977571
"1996",13,69.1951062459755
"1997",13,68.6441634680515
"1998",13,67.9818887451488
"1999",13,67.2096091723918
"2000",13,66.0058675607712
"2001",13,64.3941701109419
"2002",13,63.0640604718638
"2003",13,61.8104721160035
"1980",14,80.6841741534209
"1981",14,81.1603580286854
"1982",14,80.2886783942264
"1983",14,80.3240247282029
"1984",14,80.5186590765338
"1985",14,79.5885167464115
"1986",14,78.6669990858473
"1987",14,79.6433534043539
"1988",14,77.6138863988265
"1989",14,78.1229713437819
"1990",14,75.8044030482642
"1991",14,75.008621680653
"1992",14,70.1320501342883
"1993",14,68.9237042601138
"1994",14,69.1750931346461
"1995",14,68.8100786484125
"1996",14,67.6432710882164
"1997",14,67.3628358545947
"1998",14,66.6633495870236
"1999",14,65.7946221393148
"2000",14,63.8348700754401
"2001",14,63.1672830106591
"2002",14,61.6400702450943
"1980",15,80.1197880672656
"1981",15,80.6103742046803
"1982",15,79.7474064050519
"1983",15,79.5246216158602
"1984",15,79.8228969006958
"1985",15,78.7846889952153
"1986",15,77.8442616138951
"1987",15,78.6475220009264
"1988",15,76.7174639393692
"1989",15,77.2048595010665
"1990",15,74.6507197290432
"1991",15,74.0200022991148
"1992",15,69.0129811996419
"1993",15,67.7218585685159
"1994",15,67.823310271421
"1995",15,67.3827556073405
"1996",15,66.349001931745
"1997",15,66.2113343869948
"1998",15,65.4045178624739
"1999",15,63.8200100095546
"2000",15,62.699077954736
"2001",15,61.6706547748532
"1980",16,79.6590647316287
"1981",16,80.1143103634207
"1982",16,79.0708164185837
"1983",16,78.7571946280111
"1984",16,79.0217162133671
"1985",16,77.9904306220096
"1986",16,76.822072633591
"1987",16,77.8138026864289
"1988",16,75.7802950044821
"1989",16,76.3052953723454
"1990",16,73.6663844199831
"1991",16,72.9509138981492
"1992",16,67.8043867502238
"1993",16,66.6487820581607
"1994",16,66.6098988823842
"1995",16,66.2976988057093
"1996",16,65.1513200257566
"1997",16,65.0880559945812
"1998",16,63.5088068464524
"1999",16,62.8099549570044
"2000",16,61.5590947191953
"1980",17,79.0601243953006
"1981",17,79.4025665911787
"1982",17,78.4957149300857
"1983",17,78.1816243871243
"1984",17,78.3048703352309
"1985",17,77.311004784689
"1986",17,76.1821657109615
"1987",17,77.1344758375791
"1988",17,74.9083204302828
"1989",17,75.4891959565984
"1990",17,72.8090601185436
"1991",17,71.8933210713875
"1992",17,66.6629364368845
"1993",17,65.3396287155274
"1994",17,65.3858435337946
"1995",17,65.2199242644917
"1996",17,64.011590470058
"1997",17,63.264845337548
"1998",17,62.4937804756692
"1999",17,61.5815096228218
"1980",18,78.4842202257544
"1981",18,78.809446780977
"1982",18,78.0672079386558
"1983",18,77.6060541462375
"1984",18,77.6091081593928
"1985",18,76.6315789473684
"1986",18,75.4923959112441
"1987",18,76.4397097421646
"1988",18,74.0852416265993
"1989",18,74.793656681814
"1990",18,71.9093988145639
"1991",18,70.9391884124612
"1992",18,65.9243509400179
"1993",18,64.32020603069
"1994",18,64.6194784459819
"1995",18,64.1057384212059
"1996",18,61.9896973599485
"1997",18,62.1359223300971
"1998",18,61.3444123793412
"1980",19,77.8852798894264
"1981",19,78.3241669362666
"1982",19,77.5597654488047
"1983",19,77.0518013216798
"1984",19,76.9449715370019
"1985",19,75.8851674641148
"1986",19,74.744452754924
"1987",19,75.8375791261386
"1988",19,73.5555374460109
"1989",19,74.1073912640267
"1990",19,71.1367485182049
"1991",19,69.9850557535349
"1992",19,65.0626678603402
"1993",19,63.3973602317845
"1994",19,63.8105375199574
"1995",19,62.3143023594524
"1996",19,61.2105602060528
"1997",19,61.0973131632423
"1980",20,77.3784842202258
"1981",20,77.7633991157123
"1982",20,76.9395579612088
"1983",20,76.4229375399701
"1984",20,76.3546278726544
"1985",20,75.377990430622
"1986",20,74.0214410371478
"1987",20,75.3898409757604
"1988",20,72.9361910194768
"1989",20,73.4674951312251
"1990",20,70.4170194750212
"1991",20,69.2148522818715
"1992",20,64.2009847806625
"1993",20,62.6783989698465
"1994",20,62.6397019691325
"1995",20,61.3239149431984
"1996",20,60.3219575016098
"1980",21,76.8140981340705
"1981",21,77.2241992882562
"1982",21,76.4433919711322
"1983",21,75.8153911745896
"1984",21,75.774826059456
"1985",21,74.8516746411483
"1986",21,73.3067397988864
"1987",21,74.9266635788174
"1988",21,72.2516502322549
"1989",21,72.8646944264119
"1990",21,69.5914479254869
"1991",21,68.5136222554317
"1992",21,63.5295434198747
"1993",21,61.2404764459706
"1994",21,61.7881852048962
"1995",21,60.3917856102534
"1980",22,76.2381939645243
"1981",22,76.8683274021352
"1982",22,75.9133964817321
"1983",22,75.2398209337028
"1984",22,75.3636938646426
"1985",22,74.2679425837321
"1986",22,72.741627191889
"1987",22,74.3322525860738
"1988",22,71.6649009860647
"1989",22,72.2804414355931
"1990",22,69.041066892464
"1991",22,67.9043568226233
"1992",22,62.2761862130707
"1993",22,60.4034767678936
"1994",22,61.1069717935072
"1980",23,75.7198802119327
"1981",23,76.1781516229915
"1982",23,75.3721244925575
"1983",23,74.7814964826263
"1984",23,74.8998524140839
"1985",23,73.7129186602871
"1986",23,72.2928612980969
"1987",23,73.5680098811178
"1988",23,71.24928693668
"1989",23,71.7611054437541
"1990",23,68.3001693480102
"1991",23,66.9847108863088
"1992",23,61.4256938227395
"1993",23,59.8132846871982
"1980",24,75.3513015434232
"1981",24,75.5742478162407
"1982",24,74.9323410013532
"1983",24,74.3658068642081
"1984",24,74.3411343031836
"1985",24,73.3205741626794
"1986",24,71.7609906091581
"1987",24,73.1511502238691
"1988",24,70.8092250020373
"1989",24,71.2974125938978
"1990",24,67.3475867908552
"1991",24,66.444418898724
"1992",24,60.6982990152193
"1980",25,74.8560239576135
"1981",25,75.0242639922355
"1982",25,74.4812810103744
"1983",25,73.9394585376252
"1984",25,73.7824161922834
"1985",25,72.8516746411483
"1986",25,71.2872932768221
"1987",25,72.6493747105141
"1988",25,70.3528644772227
"1989",25,70.499860892145
"1990",25,66.8183742591025
"1991",25,65.8466490401196
"1980",26,74.464409122322
"1981",26,74.6360401164672
"1982",26,74.0753270184935
"1983",26,73.523768919207
"1984",26,73.4239932532153
"1985",26,72.4784688995215
"1986",26,70.8468378625447
"1987",26,72.1630384437239
"1988",26,69.6357265096569
"1989",26,70.0454418992859
"1990",26,66.3844199830652
"1980",27,74.0382400368579
"1981",27,74.1291922786585
"1982",27,73.6693730266125
"1983",27,73.1400554252825
"1984",27,72.9390681003584
"1985",27,71.8851674641148
"1986",27,70.4479348458406
"1987",27,71.6844218002161
"1988",27,69.3097547062179
"1989",27,69.6373921914124
"1980",28,73.7042156185211
"1981",28,73.6978324166936
"1982",28,73.3423545331529
"1983",28,72.7989767640162
"1984",28,72.4752266497997
"1985",28,71.4354066985646
"1986",28,69.7415440870938
"1987",28,71.360197622356
"1988",28,68.7800505256295
"1980",29,73.3817092835752
"1981",29,73.2556885581797
"1982",29,72.936400541272
"1983",29,72.3193348966105
"1984",29,72.0957200084335
"1985",29,70.6602870813397
"1986",29,69.3592620294191
"1987",29,71.0282538212135
"1980",30,72.9785763648929
"1981",30,72.932168661706
"1982",30,72.55299954894
"1983",30,72.0528671924963
"1984",30,71.4632089394898
"1985",30,70.1913875598086
"1986",30,68.935427574171
"1980",31,72.506334945865
"1981",31,72.5223767928394
"1982",31,72.3387460532251
"1983",31,71.5732253250906
"1984",31,71.0204511912292
"1985",31,69.8755980861244
"1980",32,72.1377562773555
"1981",32,72.0586649412272
"1982",32,71.7523680649526
"1983",32,71.3067576209763
"1984",32,70.6831119544592
"1980",33,71.8728403593642
"1981",33,71.508681117222
"1982",33,71.3238610735228
"1983",33,70.9976550842038
"1980",34,71.4581893572909
"1981",34,71.0773212552572
"1982",34,70.9291835814163
